SubFP1,SubFP2,SubFP18,SubFP19,SubFP23,SubFP26,SubFP27,SubFP35,SubFP49,SubFP88,SubFP99,SubFP135,SubFP137,SubFP143,SubFP171,SubFP181,SubFP183,SubFP184,SubFP296,SubFP298
0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0
0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0
0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0
